2yillik_Bolumler_aciklamali
Sehir;Id;bolum_adi;Tur;Universite;Fakülte;Ogrenim_sekli;Ozellik;2025_Taban_Puan;2025_Taban_Sıralama;2025_Kontenjan;2025_Dolu_Kontenjan;2025_Bos_Kontenjan;2025_Kontenjan_Orani;2025_Sıralama_Degisim_Orani;2025_Ucret;2024_TabanPuani;2024_TabanSıralama;2024_Kontenjan;2024_Dolu_Kontenjan;2024_Bos_Kontenjan;2024_Kontenjan_Orani;2024_Ucret;Aciklama
Edirne;109490273;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Trakya Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;337,7145;483.700;40;40;0;%100,0;-90.183;-;328,4686;573.883;50;50;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İzmir;208910012;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İzmir Kavram Meslek Y.O.;İzmir Kavram Meslek Y.O.;Burslu;-;337,4218;485.800;10;10;0;%100,0;-43.410;-;333,7002;529.210;7;7;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Iğdır;105290130;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Iğdır Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;334,9034;505.300;30;30;0;%100,0;-55.663;-;329,9650;560.963;20;20;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Artvin;101370250;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Artvin Çoruh Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;334,7179;506.600;50;50;0;%100,0;-90.387;-;325,9331;596.987;60;60;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;209910010;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Sağlık ve Sosyal Bilimler Meslek Y.O.;İstanbul Sağlık ve Sosyal Bilimler Meslek Y.O.;Burslu;-;334,5973;507.600;8;8;0;%100,0;-55.286;-;329,7441;562.886;4;4;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;208750189;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Kent Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;334,4560;508.600;10;10;0;%100,0;-87.341;-;326,0486;595.941;10;10;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;201290270;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Doğuş Ü.;Meslek Y.O.;Burslu;-;334,4004;509.100;10;10;0;%100,0;-98.950;-;324,7359;608.050;10;10;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;202751929;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Gelişim Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;334,3574;509.400;9;9;0;%100,0;-91.009;-;325,5601;600.409;10;10;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Trabzon;200351639;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Avrasya Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;334,0150;512.100;6;6;0;%100,0;-74.692;-;327,0404;586.792;6;6;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;209810016;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Galata Ü.;Meslek Y.O.;Burslu;-;333,9354;512.800;7;7;0;%100,0;-91.993;-;325,0846;604.793;7;7;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;202950223;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Altınbaş Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;333,7601;514.300;9;9;0;%100,0;-49.370;-;329,6488;563.670;9;9;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;206250518;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Yeni Yüzyıl Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;333,3403;517.600;10;10;0;%100,0;-88.854;-;324,9070;606.454;11;11;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Karabük;106150635;AĞIZ VE DİŞ SAĞLIĞI;Devlet;Karabük Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;332,7682;522.200;65;65;0;%100,0;-106.846;-;322,5517;629.046;65;65;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;202390210;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Arel Ü.;Meslek Y.O.;Burslu;-;330,6166;540.000;10;10;0;%100,0;-70.099;-;324,5067;610.099;9;9;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;205053774;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Topkapı Ü.;Plato Meslek Y.O.;Burslu;-;330,4967;540.900;10;10;0;%100,0;-93.433;-;322,0080;634.333;10;10;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;210401550;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Nişantaşı Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;330,1865;543.700;10;10;0;%100,0;-67.039;-;324,4512;610.739;10;10;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;206851397;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Şişli Meslek Y.O.;İstanbul Şişli Meslek Y.O.;Burslu;-;328,7651;555.800;10;10;0;%100,0;-114.068;-;318,4816;669.868;10;10;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;208150204;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Rumeli Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;327,8276;563.700;10;10;0;%100,0;-90.913;-;319,9796;654.613;10;10;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;207590261;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Esenyurt Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;324,6167;592.100;8;8;0;%100,0;-66.665;-;319,5709;658.765;6;6;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Gazimağusa;300150721;AĞIZ VE DİŞ SAĞLIĞI;Kıbrıs;Doğu Akdeniz Ü.;Sağlık Hizmetleri Y.O.;Burslu;-;314,2665;691.800;5;5;0;%100,0;-96.681;-;307,6899;788.481;5;5;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;200950035;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Bezm-İ Alem Vakıf Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;302,0022;827.500;33;33;0;%100,0;-37.796;₺183.150,00;301,3532;865.296;32;32;-;%100,0;₺99.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Trabzon;200390167;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Avrasya Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;301,5761;832.500;13;13;0;%100,0;-596.850;₺99.000,00;263,1536;1.429.350;38;38;-;%100,0;₺121.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Antalya;206410616;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Antalya Bilim Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;300,3706;846.800;51;51;0;%100,0;-58.910;₺200.640,00;298,2202;905.710;51;51;-;%100,0;₺125.400,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Güzelyurt;301290075;AĞIZ VE DİŞ SAĞLIĞI;Kıbrıs;Kıbrıs Sağlık ve Toplum Bilimleri Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;295,8492;901.900;6;6;0;%100,0;-83.058;-;292,3085;984.958;6;6;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Lefkoşa;300550753;AĞIZ VE DİŞ SAĞLIĞI;Kıbrıs;Yakın Doğu Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;295,2590;909.400;11;11;0;%100,0;-126.825;-;288,6431;"m
1.036.225";13;13;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Lefke;300350807;AĞIZ VE DİŞ SAĞLIĞI;Kıbrıs;Lefke Avrupa Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;293,5330;931.200;35;35;0;%100,0;-110.371;-;288,2711;1.041.571;35;35;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Girne;300750072;AĞIZ VE DİŞ SAĞLIĞI;Kıbrıs;Girne Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;292,1621;948.100;5;5;0;%100,0;-81.061;-;289,1394;1.029.161;5;5;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Girne;300290339;AĞIZ VE DİŞ SAĞLIĞI;Kıbrıs;Girne Amerikan Ü.;Sağlık Meslek Y.O.;Burslu;-;292,1080;948.900;6;6;0;%100,0;-99.448;-;"o
287,7956";1.048.348;8;8;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;209210016;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Ankara Medipol Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;287,6130;1.007.000;51;51;0;%100,0;-;₺290.000,00;-;Yeni;-;-;-;-;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Bursa;210000367;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Mudanya Ü.;Meslek Y.O.;%50 İnd.;-;286,8543;1.017.000;25;25;0;%100,0;75.710;"c
₺250.000";295,5458;941.290;25;25;-;%100,0;₺149.400,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;208810032;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Lokman Hekim Ü.;Sağlık Hizmetleri Meslek Y.O.;%25 İnd.;-;282,0861;1.081.000;42;42;0;%100,0;130.705;₺240.000,00;294,8719;950.295;42;42;-;%100,0;₺135.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;209010046;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Fenerbahçe Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;279,7275;1.113.000;37;37;0;%100,0;".
-387.758";₺237.600,00;258,8719;1.500.758;37;37;-;%100,0;₺132.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Lefkoşa;300590344;AĞIZ VE DİŞ SAĞLIĞI;Kıbrıs;Yakın Doğu Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;İng.;279,5516;1.116.000;7;7;0;%100,0;-128.580;-;274,6769;1.244.580;9;9;-;%100,0;-;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;200150661;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Acıbadem Mehmet Ali Aydınlar Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;277,7901;1.140.000;42;42;0;"m
100,0%";-192.292;₺225.000,00;269,1522;1.332.292;31;31;-;%100,0;₺150.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;206551946;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Üsküdar Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;275,7128;1.169.000;41;41;0;%100,0;58.237;₺251.135,00;283,5036;1.110.763;38;38;-;%100,0;₺132.545,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;206250527;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Yeni Yüzyıl Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;274,4637;1.187.000;64;64;0;%100,0;-155.803;₺160.000,00;268,5013;1.342.803;63;63;-;%100,0;₺100.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Kayseri;204610492;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Nuh Naci Yazgan Ü.;Meslek Y.O.;%25 İnd.;-;268,3220;1.275.000;30;"i
30";0;%100,0;343.180;₺259.463,00;296,2558;931.820;21;21;-;%100,0;₺152.625,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
Ankara;200690727;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Başkent Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;264,2368;1.334.000;"l
38";38;0;%100,0;70.572;₺300.000,00;273,4716;1.263.428;38;38;-;%100,0;₺182.500,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;204790626;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Okan Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;263,8276;1.340.000;30;30;0;%100,0;32.422;₺233.145,00;270,6828;1.307.578;30;30;-;%100,0;₺126.018,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;207650876;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;Biruni Ü.;Meslek Y.O.;%50 İnd.;-;262,7563;"a
1.356.000";68;68;0;%100,0;-93.232;₺250.000,00;261,9617;1.449.232;68;68;-;%100,0;₺140.800,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İzmir;209610035;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İzmir Tınaztepe Ü.;Sağlık Hizmetleri Meslek Y.O.;%50 İnd.;-;260,3462;1.391.000;59;59;0;%100,0;300.169;₺317.350,00;284,8438;1.090.831;51;51;-;%100,0;₺163.536,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;206851404;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Şişli Meslek Y.O.;İstanbul Şişli Meslek Y.O.;%50 İnd.;-;"s
258,7483";1.414.000;67;67;0;%100,0;-253.982;₺175.000,00;249,1241;1.667.982;62;62;-;%100,0;₺126.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
İstanbul;205053765;AĞIZ VE DİŞ SAĞLIĞI;Vakıf;İstanbul Topkapı Ü.;Plato Meslek Y.O.;%50 İnd.;-;254,6079;1.475.000;67;67;0;%100,0;-631.435;₺320.000,00;224,8970;2.106.435;68;68;-;%100,0;₺165.000,00;Ağız ve Diş Sağlığı programında, ağız ve diş sağlığına dair teorik ve pratik bilgi edinir, diş hekimleriyle birlikte çalışarak hastaların bakımında yer alırsınız. Mezunlar diş klinikleri, kamu sağlık kuruluşları ve özel muayenehanelerde çalışabilirler.  Detaylı işleyiş, bilimsel çalışma ve insanlara yardım etme hobilerine sahip kişiler için idealdir.
